uid,lat_fixed,lon_fixed,date,sat_date,abun,sensor,B2,B3,B4,B5,NDCI,NDWI
xtsy,39.40763107420486,-99.44667103440258,20150630,2015-06-23,14.489999771118164,L8,17689,18175,18849,24361,0.12756306,-0.14542976
zojf,39.44336185094611,-96.72952672568744,20130923,2013-09-23,4.09499979019165,L8,8931,9711,9890,9537,-0.018170588,0.0090399
flse,38.280468428116905,-94.73378024449983,20181029,2018-10-29,6.614999771118164,S2,135,246,280,518,0.2982456,-0.36842105
jlkf,39.28077856743642,-96.63505621076912,20130923,2013-09-23,0.6299999952316284,L8,9007,9904,9905,8311,-0.08750549,0.08745539
qczy,39.30552657828306,-96.65055604603091,20130923,2013-09-23,3.6540000438690186,L8,9003,10026,10219,8321,-0.10237325,0.09293073
ndmi,39.69807016221999,-98.28161494756246,20150629,NONE,14.489999771118164,NONE,0,,,,0,0
dmoi,38.38889147023144,-97.09306385727173,20150608,2015-06-09,12.28499984741211,L8,8182,9971,9065,18120,0.3330881,-0.29009292
gnee,38.38889147023144,-97.09306385727173,20160711,NONE,5.039999961853027,NONE,0,,,,0,0
pkfu,38.38889147023144,-97.09306385727173,20130722,NONE,13.229999542236328,NONE,0,,,,0,0
uakp,38.38889147023144,-97.09306385727173,20150713,2015-07-11,12.28499984741211,L8,8367,9953,9732,12948,0.14179894,-0.13078031
uxcc,38.38889147023144,-97.09306385727173,20140804,2014-08-09,18.270000457763672,L8,9323,11192,12081,16900,0.16628136,-0.20318952
ajmc,39.07775123737197,-96.90589754965438,20150908,2015-09-13,5.985000133514404,L8,8241,8912,8565,8182,-0.022869768,0.042705044
bdob,39.07775123737197,-96.90589754965438,20211011,2021-10-11,4.7230000495910645,S2,648,763,703,907,0.12670808,-0.009733939
bqfv,39.07775123737197,-96.90589754965438,20210706,2021-07-08,6.822000026702881,S2,778,985,945,1115,0.08252427,-0.079008885
cwtc,39.07775123737197,-96.90589754965438,20150928,NONE,10.710000038146973,NONE,0,,,,0,0
dvns,39.07775123737197,-96.90589754965438,20141006,2014-09-26,8.505000114440918,L8,8057,8544,8156,8116,-0.0024582103,0.025690276
ejra,39.07775123737197,-96.90589754965438,20150914,2015-09-13,9.449999809265137,L8,8241,8912,8565,8182,-0.022869768,0.042705044
eric,39.07775123737197,-96.90589754965438,20150713,2015-07-11,6.929999828338623,L8,8206,9043,8762,8532,-0.01329941,0.029075392
iajb,39.07775123737197,-96.90589754965438,20170821,2017-08-23,5.039999961853027,S2,700,844,829,1068,0.12598841,-0.11437566
ityd,39.07775123737197,-96.90589754965438,20170905,2017-08-28,0.5669999718666077,S2,638,816,817,961,0.080989875,-0.115926325
kbnn,39.07775123737197,-96.90589754965438,20160705,2016-06-27,4.409999847412109,L8,7657,8813,8440,7746,-0.04287656,0.06443626
kixq,39.07775123737197,-96.90589754965438,20150720,2015-07-11,9.135000228881836,L8,8206,9043,8762,8532,-0.01329941,0.029075392
kyrb,39.07775123737197,-96.90589754965438,20160725,2016-07-29,19.21500015258789,L8,7194,7989,7205,7570,0.024703892,0.026929751
leiv,39.07775123737197,-96.90589754965438,20141013,NONE,12.28499984741211,NONE,0,,,,0,0
qdny,39.07775123737197,-96.90589754965438,20170814,2017-08-23,8.505000114440918,S2,700,844,829,1068,0.12598841,-0.11437566
qzjo,39.07775123737197,-96.90589754965438,20161003,2016-10-12,18.584999084472656,S2,781,919,826,1023,0.10654408,-0.015005359
rjca,39.07775123737197,-96.90589754965438,20150831,2015-08-28,4.724999904632568,L8,9891,12487,12002,13906,0.07349081,-0.053764254
rjus,39.07775123737197,-96.90589754965438,20140804,2014-08-09,4.09499979019165,L8,45226,43960,43997,42791,-0.013895931,0.013475349
rkrm,39.07775123737197,-96.90589754965438,20150921,2015-09-13,8.442000389099121,L8,8241,8912,8565,8182,-0.022869768,0.042705044
tfnd,39.07775123737197,-96.90589754965438,20170619,2017-06-09,1.3229999542236328,S2,728,917,928,1124,0.09551657,0.00603401
vwci,39.07775123737197,-96.90589754965438,20170731,2017-08-01,14.805000305175781,L8,10311,13049,12528,14044,0.057052538,-0.036725353
ckau,37.72796797119076,-97.8292257683872,20130716,2013-07-12,3.4649999141693115,L8,10829,12278,13062,13898,0.031008903,-0.061888754
etdx,37.72796797119076,-97.8292257683872,20160711,2016-07-17,7.244999885559082,S2,1245,1536,1489,1621,0.04244373,0.041709054
jell,37.72796797119076,-97.8292257683872,20160705,2016-06-27,3.4649999141693115,S2,1966,2122,2068,2186,0.0277386,0.007836618
nfac,37.72796797119076,-97.8292257683872,20160613,2016-06-14,2.0160000324249268,S2,656,856,751,709,-0.028767124,0.0035169988
qxcv,37.72796797119076,-97.8292257683872,20160725,2016-07-17,1.0709999799728394,S2,1245,1536,1489,1621,0.04244373,0.041709054
twov,37.72796797119076,-97.8292257683872,20200720,2020-07-18,2.2100000381469727,S2,837,1085,1005,1124,0.055894785,0.040268455
dwaf,38.919720696037864,-94.626668178095,20130903,2013-09-09,0.8820000290870667,L8,8851,9958,9876,12305,0.109508134,-0.10542155
uirp,38.078230358938924,-97.58332864079493,20130812,2013-08-06,19.530000686645508,L8,7734,9025,8519,9216,0.039300818,-0.010470917
tfyz,37.83479465512816,-95.80003602929875,20190708,2019-06-29,14.805000305175781,S2,1098,1335,1294,1435,0.051667277,-0.06806283
ifeo,38.047721189531245,-97.20233858768746,20130812,2013-08-06,16.3799991607666,L8,7907,8906,9023,8742,-0.015817618,0.009292838
soxl,39.12512918606484,-95.14784790922175,20160830,NONE,17.010000228881836,NONE,0,,,,0,0
uibi,38.81807994662561,-95.64282150345743,20200630,2020-06-23,17.993000030517578,S2,480,755,760,1075,0.17166212,-0.4881356
ktsx,39.895889262254016,-98.04562594251094,20150615,2015-06-16,9.765000343322754,L8,8554,10025,9607,10293,0.03447236,-0.013190275
vslf,38.92384982361335,-94.62477751924834,20181015,2018-10-17,7.685999870300293,S2,274,496,419,753,0.28498295,-0.5629956
xlkc,39.67322851025124,-95.51803356047674,20131007,2013-10-02,14.175000190734863,L8,7712,11086,12454,20553,0.24537219,-0.2992193
naqi,39.80482104143949,-99.9391475320483,20150615,2015-06-07,14.175000190734863,L8,8741,9689,9028,8562,-0.026492326,0.06175004
nhna,39.80482104143949,-99.9391475320483,20140714,2014-07-22,5.985000133514404,L8,7814,8638,8076,7902,-0.0108899735,0.044498187
urbn,39.80482104143949,-99.9391475320483,20210628,2021-07-04,2.0989999771118164,S2,1704,1862,1758,2015,0.068115555,-0.10502283
vtgt,39.80482104143949,-99.9391475320483,20150608,2015-06-07,15.75,L8,8741,9689,9028,8562,-0.026492326,0.06175004
cmvq,37.614301026237364,-97.62981031017607,20161010,2016-10-17,17.325000762939453,L8,9121,11117,12104,12699,0.023989033,-0.066425934
sswk,39.40017991634454,-99.45699385334132,20180625,2018-06-27,10.395000457763672,S2,303,509,342,549,0.23232323,0.07045215
xjck,39.40017991634454,-99.45699385334132,20171030,2017-10-28,4.09499979019165,S2,702,1011,980,1248,0.120287254,-0.108858526
rvqn,39.826407549639214,-95.52873540300499,20131028,NONE,2.8350000381469727,NONE,0,,,,0,0
xgpn,39.826407549639214,-95.52873540300499,20191014,2019-10-17,3.4649999141693115,S2,367,575,735,850,0.07255521,-0.13207547
uaso,38.31806310909852,-96.99138743505105,20210517,NONE,12.463000297546387,NONE,0,,,,0,0
savd,39.66513078273819,-99.17397916858016,20180618,2018-06-27,3.936000108718872,S2,1243,1583,1561,1758,0.05935523,-0.011242973
sgns,38.78091779844618,-95.54975114626988,20171030,2017-10-22,16.3799991607666,S2,426,613,621,652,0.024351925,0.15551366
vvkd,38.78091779844618,-95.54975114626988,20210809,2021-08-09,17.448999404907227,S2,651,802,599,805,0.14672364,0.0075376886
aqox,38.37611168661227,-97.07582943170014,20160620,2016-06-14,11.970000267028809,S2,653,838,749,630,-0.08629441,0.29320988
eggj,38.37611168661227,-97.07582943170014,20140804,2014-08-09,12.28499984741211,L8,8260,9246,8969,8164,-0.04698535,0.06214819
hvdw,38.37611168661227,-97.07582943170014,20160613,2016-06-14,1.5750000476837158,S2,653,838,749,630,-0.08629441,0.29320988
jisc,38.37611168661227,-97.07582943170014,20170605,2017-06-09,12.914999961853027,S2,444,632,478,388,-0.1039261,0.30175078
kngn,38.37611168661227,-97.07582943170014,20160711,NONE,0.9449999928474426,NONE,0,,,,0,0
kzmf,38.37611168661227,-97.07582943170014,20130617,2013-06-19,4.09499979019165,L8,9604,11009,10607,11086,0.022080855,-0.0034849513
nyep,38.37611168661227,-97.07582943170014,20150713,2015-07-11,11.34000015258789,L8,9009,10212,10045,10235,0.009368836,-0.0011248594
qpwy,38.37611168661227,-97.07582943170014,20130715,2013-07-05,2.7720000743865967,L8,6797,10437,10031,11288,0.05896149,-0.03917146
wefc,38.37611168661227,-97.07582943170014,20151019,2015-10-15,13.545000076293945,L8,8477,9271,9004,8090,-0.053469054,0.068026036
ykkp,38.37611168661227,-97.07582943170014,20140728,2014-07-24,18.270000457763672,L8,9043,9980,9824,9162,-0.034867797,0.042733256
ytqt,38.37611168661227,-97.07582943170014,20150706,2015-07-11,11.970000267028809,L8,9009,10212,10045,10235,0.009368836,-0.0011248594
ytsq,38.37611168661227,-97.07582943170014,20130722,NONE,2.3310000896453857,NONE,0,,,,0,0
xhth,37.4860439026371,-97.22696620280564,20140714,NONE,15.75,NONE,0,,,,0,0
fkrh,39.537997352603405,-95.15009975525376,20141027,2014-10-21,12.914999961853027,L8,8286,9075,9321,7982,-0.077385426,0.06407926
jdvp,37.84179990288312,-97.36689725296382,20160808,2016-08-13,11.024999618530273,S2,191,302,224,451,0.3362963,-0.2588957
fext,39.90733131555716,-98.08854479015035,20200826,2020-08-25,7.739999771118164,S2,804,1214,1283,1705,0.1412316,-0.5019487
sgpv,39.89305327398402,-98.06759593340126,20150810,2015-08-03,2.8350000381469727,L8,8894,10406,10271,17825,0.2688639,-0.26279622
eeeb,37.78240021775017,-97.53105014004433,20130923,2013-09-23,10.395000457763672,L8,9274,10627,10768,14548,0.14931269,-0.15574975
feku,39.016884507992444,-96.82207090895065,20211018,2021-10-11,15.218000411987305,S2,411,599,522,929,0.2804962,-0.5039337
ehsk,39.902952478322675,-98.03965074709933,20190617,2019-06-07,18.584999084472656,S2,273,414,267,446,0.2510519,-0.099020675
zers,37.70560112030667,-96.97333253488564,20190624,2019-06-29,7.875,S2,489,717,677,885,0.13316262,-0.15696649
talw,37.164587307694184,-100.43541872469052,20140707,2014-07-06,7.559999942779541,L8,9179,10755,10654,10860,0.00957516,-0.0048577376
wtou,37.164587307694184,-100.43541872469052,20130903,2013-09-05,18.899999618530273,L8,9995,11694,12160,12824,0.026577009,-0.046088587
qttk,38.96950210019853,-94.75820274096955,20130930,NONE,14.489999771118164,NONE,0,,,,0,0
vlkd,38.96950210019853,-94.75820274096955,20211025,2021-10-18,4.985000133514404,S2,226,297,228,302,0.13962264,0.108208954
gyzc,39.21067258067415,-96.97297580680137,20140728,2014-07-24,7.559999942779541,L8,9437,10451,10186,9253,-0.047996297,0.060799837
jhkd,39.21067258067415,-96.97297580680137,20141013,NONE,5.355000019073486,NONE,0,,,,0,0
kyxh,39.21067258067415,-96.97297580680137,20170905,2017-08-28,12.28499984741211,S2,380,555,469,439,-0.033039648,0.42673522
mzih,39.21067258067415,-96.97297580680137,20160725,2016-07-29,7.559999942779541,L8,7528,9233,8547,10481,0.10163969,-0.063305266
tjlb,39.21067258067415,-96.97297580680137,20150810,2015-08-12,4.724999904632568,L8,8162,9928,8760,9933,0.062750764,-2.5174965E-4
wcvw,39.21067258067415,-96.97297580680137,20140707,2014-07-08,10.710000038146973,L8,9022,10057,9620,8652,-0.052977234,0.075097546
uxen,37.21452923949278,-97.52800011492378,20160705,2016-06-27,1.3229999542236328,L8,10215,12056,12584,16796,0.14336284,-0.1642867
szqh,38.84318022645546,-94.84442837804002,20140818,2014-08-18,17.010000228881836,L8,8326,9440,8945,13139,0.18991125,-0.1638248
dgos,39.15057727577685,-96.93034680073042,20150831,2015-08-28,16.065000534057617,L8,7787,9036,8540,10759,0.11498005,-0.08704218
lpaf,39.15057727577685,-96.93034680073042,20170905,2017-08-28,2.2049999237060547,S2,520,751,680,981,0.18121614,-0.4234165
vfps,38.66527993082718,-96.99194482268273,20210719,2021-07-28,8.395999908447266,S2,336,491,387,568,0.1895288,0.08269019
vngx,38.66527993082718,-96.99194482268273,20140707,2014-07-08,1.5750000476837158,L8,9365,10657,10506,14493,0.15948638,-0.15252484
kxdi,39.39919891411279,-99.42481252103858,20170612,2017-06-20,9.449999809265137,S2,264,443,305,496,0.23845193,0.27482015
luys,39.39919891411279,-99.42481252103858,20160620,2016-06-20,4.09499979019165,S2,1565,2024,2365,3037,0.12439837,-0.26050422
srii,39.39919891411279,-99.42481252103858,20170925,2017-09-18,13.545000076293945,S2,592,772,602,1044,0.26852977,-0.24756335
ozoy,38.65485009346317,-94.92411697296616,20210607,2021-06-15,2.755000114440918,S2,1091,1509,1942,2257,0.07501786,-0.23960695
vpqb,39.22602080650011,-95.44557316835824,20210607,2021-06-13,11.151000022888184,S2,1307,1589,1829,1937,0.028677642,-0.17347205
kqdn,38.87680184839844,-94.70285637869418,20140915,NONE,19.844999313354492,NONE,0,,,,0,0
fbib,37.56845254920584,-97.36165780922603,20190909,2019-09-02,10.710000038146973,S2,576,758,631,936,0.19463944,-0.5288999
xxzf,37.56845254920584,-97.36165780922603,20140902,2014-08-25,4.09499979019165,L8,8571,9665,9420,17883,0.30996594,-0.29831567
atab,39.21155102358168,-97.00559413100731,20160711,NONE,6.300000190734863,NONE,0,,,,0,0
gniq,39.21155102358168,-97.00559413100731,20170905,2017-08-28,3.1500000953674316,S2,771,1121,1263,1738,0.15828057,-0.4884782
hnbl,39.21155102358168,-97.00559413100731,20130708,2013-07-05,8.819999694824219,L8,9529,10710,10915,18620,0.26087692,-0.26968974
ihek,39.21155102358168,-97.00559413100731,20130722,NONE,5.480999946594238,NONE,0,,,,0,0
legu,39.21155102358168,-97.00559413100731,20140623,2014-06-22,11.654999732971191,L8,20336,22802,22558,26704,0.084162235,-0.07881873
mwji,39.21155102358168,-97.00559413100731,20160705,2016-06-27,18.899999618530273,S2,858,1275,1456,1955,0.1462914,-0.40835267
oxtb,39.21155102358168,-97.00559413100731,20130916,2013-09-07,13.229999542236328,L8,9036,10231,10240,17280,0.25581396,-0.25622478
vcmx,39.21155102358168,-97.00559413100731,20160906,2016-09-15,15.4350004196167,L8,8299,9705,9400,15684,0.25051826,-0.23549569
wpel,39.21155102358168,-97.00559413100731,20151102,NONE,17.639999389648438,NONE,0,,,,0,0
xvtx,39.21155102358168,-97.00559413100731,20150824,2015-08-28,7.875,L8,16919,19147,19456,23644,0.09716938,-0.10509219
amuw,38.06283754210242,-100.05499051831578,20130610,2013-06-17,1.1970000267028809,L8,9589,11057,11378,12423,0.043905716,-0.058177173
bxbu,37.61016298045976,-97.62434345228452,20161010,2016-10-17,3.4649999141693115,L8,9458,11154,12243,12353,0.004472272,-0.051006082
ccsf,39.165216504535316,-96.9110478113711,20151012,2015-10-15,15.75,L8,8913,9870,9661,9680,9.823691E-4,0.0097186705
dtrg,39.165216504535316,-96.9110478113711,20150908,2015-09-13,6.614999771118164,L8,9082,9957,9685,9290,-0.020816864,0.03465475
hnov,39.165216504535316,-96.9110478113711,20151005,NONE,6.614999771118164,NONE,0,,,,0,0
iazo,39.165216504535316,-96.9110478113711,20130722,NONE,5.480999946594238,NONE,0,,,,0,0
ifff,39.165216504535316,-96.9110478113711,20160801,2016-07-29,15.309000015258789,L8,13951,16412,16105,21717,0.14837925,-0.13913295
niho,39.165216504535316,-96.9110478113711,20150831,2015-08-28,15.75,L8,8582,10099,9644,9477,-0.008733853,0.0317736
syxd,39.165216504535316,-96.9110478113711,20140707,2014-07-08,12.914999961853027,L8,9251,10317,9893,9278,-0.032079704,0.05302373
vbfo,39.165216504535316,-96.9110478113711,20170905,2017-08-28,6.929999828338623,S2,226,390,293,347,0.084375,0.3153457
xzqn,39.165216504535316,-96.9110478113711,20151019,2015-10-15,10.395000457763672,L8,8913,9870,9661,9680,9.823691E-4,0.0097186705
zuna,39.165216504535316,-96.9110478113711,20130916,2013-09-07,5.039999961853027,L8,8658,9923,9393,9566,0.009124954,0.018318025
ayyk,39.63750219261104,-95.4570018443582,20191014,2019-10-17,1.7009999752044678,S2,277,498,472,929,0.32619557,-0.6476831
kaou,39.63750219261104,-95.4570018443582,20150831,2015-09-06,4.09499979019165,L8,8489,9168,9255,10454,0.060835153,-0.06553868
ybef,39.63750219261104,-95.4570018443582,20140818,2014-08-18,14.175000190734863,L8,8282,9232,9460,10813,0.066739015,-0.07887254
kfyx,39.84500200103209,-95.37599781462133,20141027,2014-10-21,1.8899999856948853,L8,8135,8868,8390,7666,-0.045092177,0.07269868
slhq,39.84500200103209,-95.37599781462133,20151026,2015-10-24,0.9449999928474426,L8,10246,11902,12602,13803,0.04548381,-0.073954485
upwu,37.70127133318377,-97.0507960383861,20170814,2017-08-23,5.670000076293945,S2,519,613,531,929,0.27260274,-0.2298995
fged,39.644601081488126,-99.14856675167655,20170705,2017-07-07,0.7559999823570251,S2,2902,2413,1719,2139,0.108864695,-0.19148937
iajq,39.15216025665083,-95.47788381459151,20130716,2013-07-14,7.875,L8,9608,11610,11513,13375,0.07481517,-0.07064238
rcog,39.47231925318719,-95.74270536705461,20191014,2019-10-17,5.985000133514404,S2,310,486,470,619,0.13682278,-0.4241706
euxm,39.79218840815508,-99.97104794098466,20170705,2017-07-05,5.039999961853027,S2,1218,1374,1321,1419,0.035766423,0.099639855
jvnv,39.79218840815508,-99.97104794098466,20150615,2015-06-23,11.970000267028809,L8,8643,9907,9546,9862,0.016281946,0.0022762911
kavp,39.79218840815508,-99.97104794098466,20160620,2016-06-27,10.710000038146973,S2,392,512,371,460,0.10709988,0.34736842
ppmo,39.79218840815508,-99.97104794098466,20180625,2018-06-27,3.7799999713897705,S2,234,403,200,255,0.12087912,1.0
satf,38.1406934464956,-97.768804949113,20130729,2013-08-06,0.9449999928474426,L8,8670,9989,10302,14048,0.15383984,-0.16886467
zycl,38.1406934464956,-97.768804949113,20210913,2021-09-11,4.328999996185303,S2,469,526,450,600,0.14285715,-0.103918225
reym,37.20460328054781,-97.5321738335098,20160705,2016-06-27,5.355000019073486,L8,16332,19076,19520,24784,0.11881546,-0.13014136
mcbf,37.78396982132098,-97.8486317761718,20160711,2016-07-17,13.859999656677246,S2,689,1055,1333,1823,0.15525982,-0.43823215
qqhk,37.78396982132098,-97.8486317761718,20130716,2013-07-12,3.2760000228881836,L8,9206,10263,10682,17366,0.23830576,-0.25708494
vlmn,37.78396982132098,-97.8486317761718,20160620,2016-06-14,9.449999809265137,S2,869,1237,1685,2026,0.09188898,-0.38686493
zyhn,37.78396982132098,-97.8486317761718,20160725,2016-07-17,2.1419999599456787,S2,689,1055,1333,1823,0.15525982,-0.43823215
cndf,37.16633973440819,-100.43142782924768,20140707,2014-07-06,2.2049999237060547,L8,8297,10048,8834,8143,-0.040702127,0.10472211
xcdb,37.16633973440819,-100.43142782924768,20130903,2013-09-05,8.1899995803833,L8,8536,10122,9272,9197,-0.004060859,0.047880325
aajk,37.74668281831205,-97.77935964130651,20211018,2021-10-16,13.119000434875488,S2,777,1118,1192,1070,-0.05393457,-0.03827957
dxsf,37.74668281831205,-97.77935964130651,20160711,2016-07-17,19.025999069213867,S2,1157,1485,1607,1717,0.03309266,-0.026229508
licr,37.74668281831205,-97.77935964130651,20130716,NONE,3.2760000228881836,NONE,0,,,,0,0
qdmn,37.74668281831205,-97.77935964130651,20160705,2016-06-27,1.0080000162124634,S2,1129,1461,1555,1637,0.025689224,-0.003410641
tgoi,37.74668281831205,-97.77935964130651,20160620,2016-06-14,11.970000267028809,S2,819,1131,1194,1132,-0.026655203,-0.049579833
qrij,39.816923041698544,-101.04022889607464,20210726,2021-08-03,2.3610000610351562,S2,215,561,212,386,0.2909699,1.0
bsrk,38.383027752346166,-94.71208671787481,20180827,2018-08-18,1.2599999904632568,S2,2564,3076,3464,4241,0.10084361,-0.03950039
equo,38.36471868342072,-97.10193746836808,20150622,2015-06-25,3.7170000076293945,L8,8340,9543,9328,11773,0.11587129,-0.10461625
fncc,38.36471868342072,-97.10193746836808,20140630,2014-07-08,7.559999942779541,L8,8747,10189,9812,11721,0.08865462,-0.06992241
gynv,38.36471868342072,-97.10193746836808,20150629,2015-06-25,0.7559999823570251,L8,8340,9543,9328,11773,0.11587129,-0.10461625
hukk,38.36471868342072,-97.10193746836808,20160613,2016-06-14,5.985000133514404,S2,451,622,537,513,-0.022857143,0.36553237
lgif,38.36471868342072,-97.10193746836808,20130617,2013-06-19,17.639999389648438,L8,15843,16550,16817,21115,0.11330803,-0.121200055
ovxj,38.36471868342072,-97.10193746836808,20130722,NONE,1.8899999856948853,NONE,0,,,,0,0
qdgm,38.36471868342072,-97.10193746836808,20140804,2014-08-09,4.724999904632568,L8,8543,9543,9316,11615,0.109837085,-0.09792986
ulji,38.36471868342072,-97.10193746836808,20150706,2015-07-11,10.395000457763672,L8,8384,9671,9418,11909,0.1168003,-0.103707135
uylu,38.36471868342072,-97.10193746836808,20150713,2015-07-11,3.4649999141693115,L8,8384,9671,9418,11909,0.1168003,-0.103707135
vlyf,38.36471868342072,-97.10193746836808,20160606,2016-06-14,8.567999839782715,S2,451,622,537,513,-0.022857143,0.36553237
udeh,38.97249861610644,-94.67292689242346,20130917,2013-09-09,11.34000015258789,L8,8560,8977,8736,10971,0.11341148,-0.099959895
unep,39.76042623135138,-99.12676620662627,20210802,2021-08-05,10.494999885559082,S2,362,452,352,570,0.23644252,-0.21731602
rtsi,37.995487279791185,-97.36323633099896,20191007,2019-09-27,11.592000007629395,S2,504,837,840,1342,0.23006417,-0.52791876
hepy,37.25450953953798,-95.7807994673542,20170906,2017-09-04,0.9449999928474426,S2,604,745,548,592,0.038596492,0.37327188
lxtz,37.10221786125964,-96.79779110371463,20171030,2017-10-22,12.914999961853027,S2,571,839,956,1266,0.13951395,-0.38892934
zvaq,38.54069710649495,-99.27800107795493,20141027,2014-10-19,11.34000015258789,L8,8919,9883,9992,13995,0.16688207,-0.17220873
cvez,38.657637031621576,-95.60449552990303,20181015,2018-10-22,2.2049999237060547,S2,590,861,1054,1248,0.084274545,-0.040133778
gtur,39.41590270665899,-99.43132726767766,20180625,2018-06-27,11.654999732971191,S2,368,509,395,395,0.0,0.3101673
pnoo,39.41590270665899,-99.43132726767766,20170905,2017-09-03,13.229999542236328,S2,460,523,396,381,-0.019305019,0.263285
qtud,39.41590270665899,-99.43132726767766,20160620,2016-06-20,2.8350000381469727,S2,1085,1582,1506,1885,0.11176644,-0.04784833
wead,39.41590270665899,-99.43132726767766,20191007,2019-10-08,8.505000114440918,S2,483,651,518,502,-0.015686275,0.35343036
jajs,39.11555549610309,-96.89888784279836,20210628,2021-06-23,9.052000045776367,S2,499,567,431,486,0.05997819,0.3034483
pxjv,39.11555549610309,-96.89888784279836,20130916,2013-09-07,1.5750000476837158,L8,8323,9279,8817,9256,0.024290377,0.0012408956
afuh,39.20983872877715,-96.96101203867498,20130903,2013-09-07,18.836999893188477,L8,8782,10104,9757,14197,0.18535526,-0.16842929
koij,39.08555020511446,-96.94027721877644,20140630,2014-07-08,18.270000457763672,L8,9595,10392,10111,10038,-0.0036230085,0.01732746
awts,39.03917555415862,-95.69083710360091,20181023,2018-10-17,10.732000350952148,S2,275,462,345,292,-0.08320251,0.16519547
bbcs,39.03917555415862,-95.69083710360091,20180510,2018-05-05,14.168999671936035,S2,500,659,632,653,0.016342413,-0.2785988
bgnz,39.03917555415862,-95.69083710360091,20181010,2018-10-17,6.297999858856201,S2,275,462,345,292,-0.08320251,0.16519547
ddzj,39.03917555415862,-95.69083710360091,20170622,2017-06-24,7.923999786376953,S2,442,609,486,586,0.09328358,-0.35384616
duxo,39.03917555415862,-95.69083710360091,20170525,NONE,1.3639999628067017,NONE,0,,,,0,0
hnyh,39.03917555415862,-95.69083710360091,20170424,NONE,3.3580000400543213,NONE,0,,,,0,0
